1,联想,品牌,危机,领投美团网B轮融资  阿里巴巴杀入团购,"阿里巴巴投资美团网可以获得自生体系外的业务拓展机会,以应对百度、腾讯的疯狂投资竞赛",７月７日，美团网Ｂ轮５０００万美元融资的投资方名单最终揭晓，本轮融资由阿里巴巴集团领投，北极光、华登国际以及红杉资本３家机构跟投。　　美团网总裁王兴透露，这笔５０００万美元的融资目前已全部到账。对于此次融资的用途，他表示将用在服务优化、技术创新和人才培?,2011-07-11,商业新闻,007,F724.6,中国经济时报,北京市,北京市昌平区平西府王府街102209,中央级,http://www.cet.com.cn/,薛娟,,
2,联想,品牌,危机,阿里巴巴及其淘宝网“假货”之外不得不说的问题,,“假货”问题对于阿里巴巴及其旗下的淘宝网来说就像一颗定时炸弹，以至于每到“3·15”前后，淘宝网上下都会严阵以待，因港交所不同意其合伙人制而转投纽交所的阿里巴巴，也早被认为会面临因“假货”问题而引发集体诉讼的危险。    现在这颗炸弹竟然由淘宝网自己——“小二,2015-02-06,移动·互联,005,F724.6;F203.9,人民邮电,北京市,北京市朝阳区安苑路11号100029,中央级,http://www.cnii.com.cn/,,,
3,联想,品牌,危机,解密马云阿里巴巴私有化大戏,,策划词 CEHUACI    阿里巴巴在一个并不是很懂互联网的杭州英语老师马云的带领下已经走过了12个春秋，创造了不少的传奇神话。在这12年的发展历程上，阿里巴巴在电子商务行业中一直处于举足轻重的地位，这个行业“老大”一边疯狂地赚营钱，一边不停地做着吸引业界“眼球”,2012-02-28,赢家策略,B03,F724.6,企业家日报,四川省,四川省成都市二环路西二段12号610072,地方级,http://www.chinacaixin.com/,侯继勇,卢爱芳,米晓彬
4,联想,品牌,危机,阿里巴巴离职高管践行马云“后危机”时代创业论,,有人说马云是最大的造富者，在阿里巴巴上市时内部员工身家过百万元的有近千人；有人说阿里巴巴是最大的就业平台，它将在１０年内创造１亿个就业机会。不过，今年年初，马云却说在这个“后危机”时代，就业创富最好的解决方案是创业。 　　　　似乎，那些辞职离开阿里巴巴的,2010-09-20,科技创业,B04,F724.6,中国高新技术产业导报,北京市,北京市海淀区木樨地茂林居18号5层100043,中央级,http://www.chinahightech.com/,刘艳艳,,
5,联想,品牌,危机,“点子变现”网站能否趁危而火？,,“2003年的‘非典’造就了现在的阿里巴巴，2008年的经济危机说不定会造就下一个阿里巴巴。” 一位威客行业的业内人士这样评价威客网的前景。威客，英文Witkey，是The key of wisdom 的缩写，是指通过互联网把自己的智慧、知识、能力、经验转换成实际收益的人，他们在互联网上,2009-02-03,深度·关注,005,F724.6,北京商报,北京市,北京市朝阳区和平里西街21号北京商报大厦100013,地方级,http://www.bbtnews.com.cn/,刘爽,罗添,
6,联想,品牌,危机,阿里巴巴前高级副总裁：成功的秘密，藏在那些失败里,,马云拒绝阅读关于竞争对手如何成功的书，却十分关注其他企业的失败故事。“我给公司高管推荐的书，都是讲别人怎么失败的。”如果有一天自己写书，他说，“书名会是《阿里巴巴的一千零一个错误》。”  马云还未动笔，有人却抢先一步梳理、分析了阿里巴巴曾经犯下的错?,2015-10-19,纵深,T02,F724.6,解放日报,上海市,上海市汉口路300号200001,地方级,http://www.jfdaily.com/,顾学文,,
7,联想,品牌,危机,阿里健康启动收购阿里巴巴旗下38亿保健食品业务,,5月19日，阿里健康（00241.HK）发布公告称，正式与阿里巴巴集团签署股份认购协议，阿里巴巴集团将价值38亿港币的天猫平台“蓝帽子”保健食品在线业务注入阿里健康。交易完成后，阿里巴巴集团在阿里健康的持股比例将从约37.9%上升到约45.8%，投票权将从之前的约54%上升到约59.,2017-05-22,,003,F724.6;F832.51,21世纪经济报道,广东省,广东省广州市广州大道289号510601,地方级,http://www.21so.com/,朱萍,,
8,联想,品牌,危机,阿里巴巴私有化暗战Yahoo!,,谁还记得Yahoo！的本来面貌　　　　市场是火热的，资本是冰冷的。　　　　Yahoo！——在一次又一次地卷入资本市场的纷争后，已经渐渐失去了它原有的面貌。　　　　像Facebook一样，这原本也是一个以充满了阳光和绿意的校园为起点的故事。　　　　1994年，在斯坦福大?,2012-02-27,专题,020,F724.6,新金融观察,天津市,天津市河西区大沽南路873号300211,地方级,http://www.tianjinwe.com/,王琳,,
9,联想,品牌,危机,阿里巴巴美国征途遭遇拦路虎,,近两个月，对阿里巴巴来说日子并不好过，负面消息相继传出，其股价自5月中旬至7月初基本上是一路向下。7月17日，美国服装和鞋履协会(AAFA)向阿里巴巴董事局主席马云发出公开信，要求解决旗下网站淘宝网的假货问题，并指责该公司一直打假不力。此次事件距离阿里巴巴出售其美国,2015-07-22,国际贸易,002,F724.6,中国纺织报,北京市,北京市朝阳区东三环中路18号甲2号楼100022,中央级,http://www.ctn1986.com/,陈楠,,
10,联想,品牌,危机,"不做电子商务,五年后会后悔",,两天来，近3000份淘宝卖家的代理申请，着实给了曾给某品牌做代工的女鞋厂商电子商务业务负责人严湘一个意外惊喜。“确实没想到，这次参加展会非常值。网上销售的潜力太大了，我们有信心走好自主品牌之路。”　　　　5月17日，首届网商交易大会刚刚落下帷幕，一个把渠道还给,2009-05-21,,001,F724.6,人民日报海外版,北京市,北京市朝阳区金台西路2号100733,中央级,http://www.people.com.cn/,张意轩,,
11,联想,品牌,危机,“大连网商”整体品牌登录阿里巴巴,,大连是辽宁沿海经济带的龙头和核心城市，“十一五”期间，大连的中小企业在全市经济总量中已是半壁江山，2009年中小企业创造的增加值在GDP中的比重占到了62%。为推动大连市中小企业利用第三方电子商务平台，拓展国内外市场，提高企业竞争力和抗风险能力，大连经信委与全球领?,2010-12-11,大连新闻,A02,F713.5;F276.3,大连日报,辽宁省,辽宁省大连市中山区民康街15号116002,地方级,http://www.dlxww.com/,经信轩,程程,
12,联想,品牌,危机,外贸电商在新兴国家大行其道,,有外贸“晴雨表”之称的第112届广交会，日前传递出“寒意”还未褪去的信号。不过，昨日阿里巴巴发布的最新对1000家外贸企业抽样调查显示：外贸电商的日子挺红火。　　    “印度市场成长迅速，预计今年的成交额将比去年翻一倍”。东莞亲亲我贸易有限公司总裁郑子枫有些意外,2012-10-17,东莞·经济,A08,F724.6,东莞日报,广东省,广东省东莞市南城区三元路8号东莞报业大厦523007,地方级,http://www.timedg.com/,沈勇青,,
13,联想,品牌,危机,江苏携手阿里巴巴引领企业共渡时艰,,在国际金融危机的严峻形势下，江苏省中小企业管理部门秉承高度的责任心与使命感，积极探索推进我省中小企业应用第三方电子商务服务平台，开拓国内外市场，化解金融危机给企业带来的影响，并与我国电子商务的领军者阿里巴巴公司合作，为我省中小企业开辟网络营销推广平台。4月,2009-04-20,中小企业创新创优,A09,F724.6;F276.3,江苏科技报,江苏省,江苏省南京市户部街26号210002,地方级,http://www.jskjb.com/,王建专,,
